"Date","ISA Daily Price *","15 Day Average","Price Index **","cts/lb Index **"
"28 Apr 2023","26.45 cts/lb","24.59 cts/lb","706.65 $/T","32.05 cts/lb"
"27 Apr 2023","26.45 cts/lb","24.37 cts/lb","713.35 $/T","32.36 cts/lb"
"26 Apr 2023","25.90 cts/lb","24.11 cts/lb","690.15 $/T","31.30 cts/lb"
"25 Apr 2023","26.06 cts/lb","23.86 cts/lb","698.80 $/T","31.70 cts/lb"
"24 Apr 2023","25.39 cts/lb","23.59 cts/lb","684.10 $/T","31.03 cts/lb"
"21 Apr 2023","24.41 cts/lb","23.35 cts/lb","669.70 $/T","30.38 cts/lb"
"20 Apr 2023","24.80 cts/lb","23.16 cts/lb","687.10 $/T","31.17 cts/lb"
"19 Apr 2023","23.92 cts/lb","22.90 cts/lb","672.00 $/T","30.48 cts/lb"
"18 Apr 2023","24.03 cts/lb","22.70 cts/lb","668.25 $/T","30.31 cts/lb"
"17 Apr 2023","23.90 cts/lb","22.46 cts/lb","661.40 $/T","30.00 cts/lb"
"14 Apr 2023","23.56 cts/lb","22.23 cts/lb","675.60 $/T","30.64 cts/lb"
"13 Apr 2023","23.51 cts/lb","22.02 cts/lb","678.20 $/T","30.76 cts/lb"
"12 Apr 2023","23.48 cts/lb","21.83 cts/lb","681.95 $/T","30.93 cts/lb"
"11 Apr 2023","23.79 cts/lb","21.62 cts/lb","691.20 $/T","31.35 cts/lb"
"10 Apr 2023","23.13 cts/lb","21.38 cts/lb","HOL","HOL"
"06 Apr 2023","23.20 cts/lb","21.18 cts/lb","667.50 $/T","30.28 cts/lb"
"05 Apr 2023","22.58 cts/lb","20.99 cts/lb","655.35 $/T","29.73 cts/lb"
"04 Apr 2023","22.11 cts/lb","20.82 cts/lb","633.10 $/T","28.72 cts/lb"
"03 Apr 2023","22.01 cts/lb","20.70 cts/lb","628.10 $/T","28.49 cts/lb"
