"Date","ISA Daily Price *","15 Day Average","Price Index **","cts/lb Index **"
"28 Feb 2023","20.58 cts/lb","20.27 cts/lb","556.20 $/T","25.23 cts/lb"
"27 Feb 2023","20.70 cts/lb","20.22 cts/lb","563.40 $/T","25.56 cts/lb"
"24 Feb 2023","20.06 cts/lb","20.15 cts/lb","554.70 $/T","25.16 cts/lb"
"23 Feb 2023","20.58 cts/lb","20.16 cts/lb","566.70 $/T","25.71 cts/lb"
"22 Feb 2023","20.21 cts/lb","20.16 cts/lb","559.05 $/T","25.36 cts/lb"
"21 Feb 2023","20.23 cts/lb","20.16 cts/lb","560.50 $/T","25.42 cts/lb"
"20 Feb 2023","20.21 cts/lb +","20.18 cts/lb","560.60 $/T","25.43 cts/lb"
"17 Feb 2023","20.18 cts/lb","20.17 cts/lb","559.15 $/T","25.36 cts/lb"
"16 Feb 2023","20.17 cts/lb","20.15 cts/lb","558.75 $/T","25.34 cts/lb"
"15 Feb 2023","20.11 cts/lb","20.10 cts/lb","557.75 $/T","25.30 cts/lb"
"14 Feb 2023","20.32 cts/lb","20.03 cts/lb","561.00 $/T","25.45 cts/lb"
"13 Feb 2023","19.99 cts/lb","19.93 cts/lb","561.00 $/T","25.45 cts/lb"
"10 Feb 2023","20.33 cts/lb","19.84 cts/lb","568.85 $/T","25.80 cts/lb"
"09 Feb 2023","20.25 cts/lb","19.73 cts/lb","570.35 $/T","25.87 cts/lb"
"08 Feb 2023","20.08 cts/lb","19.62 cts/lb","567.15 $/T","25.73 cts/lb"
"07 Feb 2023","19.86 cts/lb","19.53 cts/lb","557.00 $/T","25.27 cts/lb"
"06 Feb 2023","19.68 cts/lb","19.47 cts/lb","550.80 $/T","24.98 cts/lb"
"03 Feb 2023","20.17 cts/lb","19.41 cts/lb","553.30 $/T","25.10 cts/lb"
"02 Feb 2023","20.55 cts/lb","19.31 cts/lb","566.65 $/T","25.70 cts/lb"
"01 Feb 2023","20.26 cts/lb","19.18 cts/lb","561.25 $/T","25.46 cts/lb"
