"Date","ISA Daily Price *","15 Day Average","Price Index **","cts/lb Index **"
"31 Jul 2023","23.77 cts/lb","23.90 cts/lb","678.15 $/T","30.76 cts/lb"
"28 Jul 2023","23.62 cts/lb","23.85 cts/lb","674.00 $/T","30.57 cts/lb"
"27 Jul 2023","24.28 cts/lb","23.82 cts/lb","682.45 $/T","30.96 cts/lb"
"26 Jul 2023","24.07 cts/lb","23.72 cts/lb","682.20 $/T","30.94 cts/lb"
"25 Jul 2023","24.35 cts/lb","23.66 cts/lb","689.45 $/T","31.27 cts/lb"
"24 Jul 2023","24.52 cts/lb","23.57 cts/lb","695.25 $/T","31.54 cts/lb"
"21 Jul 2023","24.56 cts/lb","23.46 cts/lb","697.15 $/T","31.62 cts/lb"
"20 Jul 2023","24.23 cts/lb","23.35 cts/lb","684.85 $/T","31.06 cts/lb"
"19 Jul 2023","23.80 cts/lb","23.21 cts/lb","671.40 $/T","30.45 cts/lb"
"18 Jul 2023","23.50 cts/lb","23.13 cts/lb","663.30 $/T","30.09 cts/lb"
"17 Jul 2023","23.44 cts/lb","23.10 cts/lb","665.70 $/T","30.20 cts/lb"
"14 Jul 2023","23.94 cts/lb","23.11 cts/lb","693.20 $/T","31.44 cts/lb"
"13 Jul 2023","23.64 cts/lb","23.13 cts/lb","683.60 $/T","31.01 cts/lb"
"12 Jul 2023","23.54 cts/lb","23.22 cts/lb","677.40 $/T","30.73 cts/lb"
"11 Jul 2023","23.17 cts/lb","23.37 cts/lb","669.20 $/T","30.35 cts/lb"
"10 Jul 2023","23.07 cts/lb","23.56 cts/lb","657.85 $/T","29.84 cts/lb"
"07 Jul 2023","23.14 cts/lb","23.76 cts/lb","660.10 $/T","29.94 cts/lb"
"06 Jul 2023","22.85 cts/lb","23.96 cts/lb","652.20 $/T","29.58 cts/lb"
"05 Jul 2023","23.10 cts/lb","24.15 cts/lb","655.65 $/T","29.74 cts/lb"
"04 Jul 2023","23.02 cts/lb +","24.31 cts/lb","649.40 $/T","29.46 cts/lb"
"03 Jul 2023","22.93 cts/lb","24.43 cts/lb","641.95 $/T","29.12 cts/lb"
