"Date","ISA Daily Price *","15 Day Average","Price Index **","cts/lb Index **"
"30 Jun 2023","22.86 cts/lb","24.58 cts/lb","630.80 $/T","28.61 cts/lb"
"29 Jun 2023","22.13 cts/lb","24.73 cts/lb","618.20 $/T","28.04 cts/lb"
"28 Jun 2023","22.61 cts/lb","24.93 cts/lb","628.10 $/T","28.49 cts/lb"
"27 Jun 2023","23.00 cts/lb","25.04 cts/lb","628.65 $/T","28.52 cts/lb"
"26 Jun 2023","23.67 cts/lb","25.13 cts/lb","650.35 $/T","29.50 cts/lb"
"23 Jun 2023","24.25 cts/lb","25.17 cts/lb","660.90 $/T","29.98 cts/lb"
"22 Jun 2023","24.95 cts/lb","25.18 cts/lb","675.15 $/T","30.62 cts/lb"
"21 Jun 2023","25.82 cts/lb","25.16 cts/lb","694.60 $/T","31.51 cts/lb"
"20 Jun 2023","26.03 cts/lb","25.09 cts/lb","701.10 $/T","31.80 cts/lb"
"19 Jun 2023","26.08 cts/lb +","25.02 cts/lb","699.70 $/T","31.74 cts/lb"
"16 Jun 2023","26.12 cts/lb","24.96 cts/lb","701.25 $/T","31.81 cts/lb"
"15 Jun 2023","25.68 cts/lb","24.86 cts/lb","685.45 $/T","31.09 cts/lb"
"14 Jun 2023","25.46 cts/lb","24.82 cts/lb","684.80 $/T","31.06 cts/lb"
"13 Jun 2023","24.85 cts/lb","24.82 cts/lb","677.55 $/T","30.73 cts/lb"
"12 Jun 2023","25.20 cts/lb","24.87 cts/lb","682.60 $/T","30.96 cts/lb"
"09 Jun 2023","25.08 cts/lb","24.89 cts/lb","679.40 $/T","30.82 cts/lb"
"08 Jun 2023","25.15 cts/lb","24.90 cts/lb","685.15 $/T","31.08 cts/lb"
"07 Jun 2023","24.28 cts/lb","24.93 cts/lb","666.25 $/T","30.22 cts/lb"
"06 Jun 2023","24.33 cts/lb","25.02 cts/lb","668.35 $/T","30.32 cts/lb"
"05 Jun 2023","24.21 cts/lb","25.13 cts/lb","673.15 $/T","30.53 cts/lb"
"02 Jun 2023","24.52 cts/lb","25.24 cts/lb","682.30 $/T","30.95 cts/lb"
"01 Jun 2023","24.63 cts/lb","25.31 cts/lb","685.60 $/T","31.10 cts/lb"
