"Date","ISA Daily Price *","15 Day Average","Price Index **","cts/lb Index **"
"31 May 2023","24.76 cts/lb","25.42 cts/lb","691.30 $/T","31.36 cts/lb"
"30 May 2023","25.01 cts/lb","25.49 cts/lb","701.60 $/T","31.82 cts/lb"
"26 May 2023","25.11 cts/lb","25.54 cts/lb","703.30 $/T","31.90 cts/lb"
"25 May 2023","24.57 cts/lb","25.60 cts/lb","691.25 $/T","31.35 cts/lb"
"24 May 2023","25.17 cts/lb","25.64 cts/lb","702.55 $/T","31.87 cts/lb"
"23 May 2023","25.44 cts/lb","25.62 cts/lb","707.05 $/T","32.07 cts/lb"
"22 May 2023","25.61 cts/lb","25.57 cts/lb","706.95 $/T","32.07 cts/lb"
"19 May 2023","25.44 cts/lb","25.55 cts/lb","703.95 $/T","31.93 cts/lb"
"18 May 2023","25.27 cts/lb","25.61 cts/lb","700.65 $/T","31.78 cts/lb"
"17 May 2023","25.56 cts/lb","25.69 cts/lb","706.00 $/T","32.02 cts/lb"
"16 May 2023","25.70 cts/lb","25.72 cts/lb","709.60 $/T","32.19 cts/lb"
"15 May 2023","25.92 cts/lb","25.74 cts/lb","711.95 $/T","32.29 cts/lb"
"12 May 2023","25.84 cts/lb","25.70 cts/lb","709.95 $/T","32.20 cts/lb"
"11 May 2023","25.67 cts/lb","25.61 cts/lb","701.15 $/T","31.80 cts/lb"
"10 May 2023","26.28 cts/lb","25.55 cts/lb","713.50 $/T","32.36 cts/lb"
"09 May 2023","25.83 cts/lb","25.39 cts/lb","704.70 $/T","31.96 cts/lb"
"08 May 2023","25.72 cts/lb","25.27 cts/lb","HOL","HOL"
"05 May 2023","25.94 cts/lb","25.15 cts/lb","710.40 $/T","32.22 cts/lb"
"04 May 2023","25.18 cts/lb","24.99 cts/lb","692.15 $/T","31.40 cts/lb"
"03 May 2023","24.83 cts/lb","24.88 cts/lb","682.70 $/T","30.97 cts/lb"
"02 May 2023","24.81 cts/lb","24.79 cts/lb","687.30 $/T","31.18 cts/lb"
"01 May 2023","25.21 cts/lb","24.72 cts/lb","HOL","HOL"
